"r","K_observed","K_expected","L"
187,178028.407765142,109858.353503381,51.0508395557634
188,179835.444456307,111036.450748478,51.2559296165898
189,181543.855525341,112220.831178881,51.3896919371498
190,183337.910220011,113411.494794592,51.5745626826338
191,185351.7669624,114608.441595609,51.8977147808641
192,187287.757695824,115811.671581934,52.1629473031795
193,189145.393294034,117021.184753566,52.3708389593437
194,190850.68229174,118236.981110505,52.4744590386242
195,192933.561343099,119459.060652752,52.8157782550481
196,194822.656175341,120687.423380305,53.0260578999648
197,196671.711848729,121922.069293166,53.2050163648604
198,198677.20463496,123162.998391334,53.4774709485284
199,200628.711260875,124410.210674809,53.7095214799984
200,202555.456895254,125663.706143592,53.9200748862406
201,204375.323433526,126923.484797681,54.0582010853624
202,206323.291655559,128189.546637078,54.2708400968517
203,208191.088951909,129461.891661782,54.4282071350411
204,210256.782742404,130740.519871793,54.7021696548072
205,212198.401783885,132025.431267111,54.8939189750514
206,214225.882092898,133316.625847736,55.1325643166944
207,216075.611406746,134614.103613669,55.2575132841276
208,217987.955110202,135917.864564909,55.4154915348861
209,220282.459728219,137227.908701456,55.7981961501526
210,222214.16416126,138544.23602331,55.9566981720835
211,224214.492303351,139866.846530471,56.1510612478195
212,226270.852701527,141195.74022294,56.3733395293438
213,228537.170738787,142530.917100715,56.7139981658887
214,230679.620484671,143872.377163798,56.9752825284913
215,232960.091013928,145220.120412188,57.311402728584
216,235231.666557227,146574.146845885,57.6358255211738
217,237413.108732539,147934.45646489,57.9016908263653
218,239677.846163103,149301.049269201,58.2097535080058
219,241724.997169582,150673.92525882,58.3868351901848
220,243830.414721327,152053.084433746,58.5922316901391
221,246037.403263296,153438.526793979,58.8502060561959
222,248062.479949698,154830.252339519,58.9995369377988
223,250289.944027903,156228.261070367,59.2583277716874
224,252470.307254847,157632.552986521,59.4850873804069
225,254613.968729488,159043.128087983,59.6860435762293
226,256748.414792548,160459.986374752,59.8768243325866
227,258860.19436031,161883.127846828,60.0500984224607
228,261130.172063819,163312.552504212,60.3059405367635
